"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"ESTUDIO INTEGRAL DE LA HIPERTENSIÓN ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLÓGICOS, GENÉTICOS, INMUNOLÓGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONÓSTICO TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO.","Instituto Mexicano Del Seguro Social","MANUEL PANDO MORENO","Nivel 1","UNIVERSIDAD DE GUADALAJARA",PSICOLOGÍA
"DISEÑO Y EVALUACIÓN DE UN MODELO DE ATENCIÓN SOCIAL A LA SALUD DE LOS/LAS ADULTOS/AS MAYORES DERECHOHABIENTES DEL IMSS","Instituto Mexicano Del Seguro Social","CARMEN FUERTES MARTÍNEZ",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","GENERO Y SALUD; DISEÑO Y EVALUACIÓN DE PROYECTOS"
"SINTESIS ESTEREOSELECTIVA Y CARACTERIZACION FARMACOLOGICA DEL(S R)HOMOHIDROXIMETOPROLOL","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","IGNACIO REGLA",,"FES ZARAGOZA, UNAM","QUIMICA ORGÁNICA"
"SINTESIS ESTEREOSELECTIVA Y CARACTERIZACION FARMACOLOGICA DEL(S R)HOMOHIDROXIMETOPROLOL","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","MANUEL LOPEZ ORTIZ",,"FACULTAD DE ESTUDIOS PROFESIONALES ZARAGOZA, UNAM","QUÍMICA ORGÁNICA"
"SINTESIS ESTEREOSELECTIVA Y CARACTERIZACION FARMACOLOGICA DEL(S R)HOMOHIDROXIMETOPROLOL","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","MARÍA DEL REFUGIO RAMÍREZ ZÁRATE",,"FACULTAD DE ESTUDIOS SUPERIORES ZARAGOZA DE LA UNAM","SINTESIS ORGÁNICA"
"EVALUACIÓN DE RIESGO GENÉTICO PARA LITIASIS URINARIA ASOCIADO A POLIMORFISMOS EN LOS GENES ZNF365 VEGF Y VDR EN UNA POBLACIÓN DE YUCATÁN.","FUNDACION MEXICANA PARA LA SALUD, CAPITULO PENINSULAR, A.C.","SALHA VILLANUEVA JORGE",,"HOSPITAL GENERAL ""DR. AGUSTÍN O'HORÁN"" , SERVICIOS DE SALUD DE YUCATÁN.","ANALISIS BIOQUIMICO"
"ESTUDIO INTEGRAL DE LA HIPERTENSIÓN ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLÓGICOS, GENÉTICOS, INMUNOLÓGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONÓSTICO TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO.","Instituto Mexicano Del Seguro Social","ROBERTO LARA RODRÍGUEZ",,"HOSPITAL GENERAL DE OCCIDENTE. SECRETARÍA DE SALUD JALISCO","QUÍMICA CLÍNICA"
"EVALUACIÓN DE MARCADORES GENÉTICOS DE RIESGO POBLACIONAL PARA LA INSUFICIENCIA RENAL CRÓNICA","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION SALVADOR ZUBIRAN","ROCIO SALAS MONTIEL",,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN","CIENCIAS BIOLÓGICAS"
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","EDITH PÉREZ GONZÁLEZ",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",QUIMICA
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","EDNA RODRÍGUEZ AGUIRRE",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",QUIMICA
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","MA. DE LOURDES INFANTE SUÁREZ",,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS",QUIMICA
"INVESTIGACIÓN INTEGRAL SOBRE LA PREVENCIÓN MANEJO Y TRATAMIENTO DEL VIH/SIDA Y SU COINFECCIÓN CON TUBERCULOSIS EN MÉXICO: UN ENFOQUE MULTIDISCIPLINARIO E INTERINSTITUCIONAL.","Instituto Nacional De Salud Publica","MA. DEL CARMEN BASUALDO SIGALES",,"SECRETARÍA DE SALUD DEL GOBIERNO DEL DF",QUIMICA
"EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD","Universidad Autónoma De Baja California","MARÍA ISABEL ORTEGA VELEZ","Nivel 1","CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C. (CIAD)",ALIMENTACION
"DISEÑO Y EVALUACIÓN DE UN MODELO DE ATENCIÓN SOCIAL A LA SALUD DE LOS/LAS ADULTOS/AS MAYORES DERECHOHABIENTES DEL IMSS","Instituto Mexicano Del Seguro Social","JÓSE DAVID MARTÍNEZ RAMÍREZ",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","TRABAJO SOCIAL, GERONTOLÓGIA SOCIAL; PLANEACIÓN, ADMINISTRACÌÓN Y EVALUACIÓN DE PROYECTOS"
"ESTUDIO INTEGRAL DE LA HIPERTENSIÓN ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLÓGICOS, GENÉTICOS, INMUNOLÓGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONÓSTICO TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO.","Instituto Mexicano Del Seguro Social","ANA LETICIA SALCEDO ROCHA",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL","SOCIOLOGÍA MÉDICA"
"FORMACIÓN EMPLEO Y REGULACIÓN DE LOS RECURSOS HUMANOS PARA LA SALUD. BASES PARA SU PLANEACIÓN ESTRATÉGICA.","Instituto Nacional De Salud Publica","ISABEL HERNÁNDEZ TEZOQUIPA","Nivel 1","INSTITUTO NACIONAL DE SALUD PÚBLICA","RECURSOS HUMANOS DE SALUD"
"SISTEMA INDIVIDUALIZADO DE MONITOREO EVALUACIÓN Y MEJORA DE LA ATENCIÓN EN UNIDADES DE MEDICINA FAMILIAR","Instituto Mexicano Del Seguro Social","ANGÉLICA CASTRO",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"SISTEMA INDIVIDUALIZADO DE MONITOREO EVALUACIÓN Y MEJORA DE LA ATENCIÓN EN UNIDADES DE MEDICINA FAMILIAR","Instituto Mexicano Del Seguro Social","FELIPE VÁZQUEZ",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"SISTEMA INDIVIDUALIZADO DE MONITOREO EVALUACIÓN Y MEJORA DE LA ATENCIÓN EN UNIDADES DE MEDICINA FAMILIAR","Instituto Mexicano Del Seguro Social","FRANCISCO MICHAUS",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"SISTEMA INDIVIDUALIZADO DE MONITOREO EVALUACIÓN Y MEJORA DE LA ATENCIÓN EN UNIDADES DE MEDICINA FAMILIAR","Instituto Mexicano Del Seguro Social","IRMA CORIA",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"SISTEMA INDIVIDUALIZADO DE MONITOREO EVALUACIÓN Y MEJORA DE LA ATENCIÓN EN UNIDADES DE MEDICINA FAMILIAR","Instituto Mexicano Del Seguro Social","YOLANDA GARCÍA",,"INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","GARY SCHOLNICK",,"UNIVERSIDAD DE STANFORD",
"EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL","Instituto Nacional De Salud Publica","EVA CAMPOS SOLANO",,"JURISDICCIÓN SANITARIA DE ORIZABA VERACRUZ","SALUD PUBLICA"
"INMUNOTERAPIA GENICA PARA EL CONTROL DE LA TUBERCULOSIS PULMONAR","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION SALVADOR ZUBIRAN","ROGELIO HERNÁNDEZ PANDO","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION S.Z.",PATOLOGIA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","AUDREY POON",,"MCGILL UNIVERSITY",GENETICA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","ERWIN SCHURR",,"MCGILL UNIVERSITY",GENETICA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","IRMA AGUILAR DELFIN",Candidato,"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO",GENETICA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","ALFREDO PONCE DE LEON","Nivel 1","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION ""SALVADOR ZUBIRAN""",MICROBIOLOGIA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","JOSE SIFUENTES","Nivel 3","INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y LA NUTRICION ""SALVADOR ZUBIRAN""",MICROBIOLOGIA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","MARIA EUGENIA JIMENEZ CORONA",Candidato,"INSTITUTO NACIONAL DE SALUD PUBLICA",EPIDEMIOLOGIA
"IDENTIFICACIÓN DE FACTORES DE RIESGO DEL HUÉSPED EL AGENTE Y EL AMBIENTE PARA EL DESARROLLO DE TUBERCULOSIS PRIMARIA. UN ENFOQUE INTEGRADOR Y MULTIDISCIPLINARIO.","Instituto Nacional De Salud Publica","MA. DE LOURDES GARCIA GARCIA","Nivel 3","INSTITUTO NACIONAL DE SALUD PUBLICA","INFECTOLOGIA, EPIDEMIOLOGIA"
"IDENTIFICACIÓN DE MECANISMOS UTILIZADOS POR MACRÓFAGOS PARA MATAR INTRACELULARMENTE A MYCOBACTERIUM TUBERCULOSIS","Instituto Politecnico Nacional","JEANET SERAFIN LOPEZ",Candidato,"INSTITUTO POLITECNICO NACIONAL",INMUNOLOGIA
"IDENTIFICACIÓN DE MECANISMOS UTILIZADOS POR MACRÓFAGOS PARA MATAR INTRACELULARMENTE A MYCOBACTERIUM TUBERCULOSIS","Instituto Politecnico Nacional","ROMMEL CHACÓN SALINAS",Candidato,"INSTITUTO POLITECNICO NACIONAL",INMUNOLOGIA
"IDENTIFICACIÓN DE MECANISMOS UTILIZADOS POR MACRÓFAGOS PARA MATAR INTRACELULARMENTE A MYCOBACTERIUM TUBERCULOSIS","Instituto Politecnico Nacional","IRIS CITLALI ESTRADA GARCIA","Nivel 2","INSTITUTO POLITECNICO NACIONAL",INMUNOLOGIA
"IDENTIFICACIÓN DE MECANISMOS UTILIZADOS POR MACRÓFAGOS PARA MATAR INTRACELULARMENTE A MYCOBACTERIUM TUBERCULOSIS","Instituto Politecnico Nacional","RICHARD STOKES",,"UNIVERSITY OF BRITISH COLUMBIA, CHILD & FAMILY RESEARCH INSTITUTE, VANCOUVER CANADÁ",INMUNOLOGIA
"ANÁLISIS POLÍTICO DE LOS CAMBIOS EN LOS ESPACIOS DE DECISIÓN Y SUS EFECTOS SOBRE EL DESEMPEÑO DEL SISTEMA NACIONAL DE PROTECCIÓN SOCIAL EN SALUD EN LOS ESTADOS, 2000-2006","INSTITUTO NACIONAL DE SALUD PUBLICA","EMANUEL OROZCO NÚÑEZ",,"INSTITUTO NACIONAL DE SALUD PÚBLICA","ANTROPOLOGÍA MÉDICA"
"EFECTOS DE LOS FLAVONOIDES Y EL TELMISARTAN EN PROCESOS DE REMODELACIÓN CARDIACA EN SUJETOS JOVENES DISLIPIDEMICOS CON HIPERTENSION LEVE A MODERADA","UNIVERSIDAD DE GUADALAJARA","PEDRO MACEDONIO GARCIA LOPEZ",,"UNIVERSIDAD DE GUADALAJARA- CUCBA",
"DESARROLLO DE ELECTROCARDIOGRAFO INALAMBRICO EN LA BANDA DE 2.4 GHZ PARA MULTIPLES PACIENTES","CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","ARMANDO CRUZ MENDOZA",,"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","DISEÑO SOFTWARE CON INTERFACES USUARIO-MAQUINA"
"DESARROLLO DE ELECTROCARDIOGRAFO INALAMBRICO EN LA BANDA DE 2.4 GHZ PARA MULTIPLES PACIENTES","CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","JESUS CARLOS PEDRAZA ORTEGA",Candidato,"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","PROCESAMIENTO DE SEÑALES E IMAGENES."
"DESARROLLO DE ELECTROCARDIOGRAFO INALAMBRICO EN LA BANDA DE 2.4 GHZ PARA MULTIPLES PACIENTES","CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","LUIS EDUARDO MEDINA GUZMAN",,"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","DISEÑO DE CIRCUITOS ELECTRONICOS EMBEBIDOS"
"DESARROLLO DE ELECTROCARDIOGRAFO INALAMBRICO EN LA BANDA DE 2.4 GHZ PARA MULTIPLES PACIENTES","CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","HIRAM ABIF HERNANDEZ RIVERA",,"CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL","DISEÑO DE CIRUITOS ELECTRONICOS ANALOGICOS."
"DISEÑO Y ESTUDIO DE CRIOPROTECTOR BASADO EN PROTEÍNAS ANTICONGELANTES PARA CRIOPRESERVACIÓN DE CORAZÓN  CON FINES DE TRASPLANTE","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","MEHMET TONER",,"HARVARD MEDICAL SCHOOL. CENTER FOR ENGINEERING IN MEDICINE",CRIOPRESERVACIÓN
"IDENTIFICACIÓN A NIVEL MOLECULAR DE MICOBACTERIAS AISLADAS DE PACIENTES INMUNOCOMPETENTES E INMUNODEPRIMIDOS EN LA ZONA ORIENTE DE LA CD. DE MÉXICO.","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","JORGE ALBERTO GONZÁLEZ Y MERCHAND","Nivel 2","ESCUELA NACIONAL DE CIENCIAS BIOLÓGICAS, IPN",MICROBIOLOGIA
"REGENERACIÓN TISULAR GUIADA MEDIANTE UNA PRÓTESIS COMPUESTA DE ÁCIDO POLIGLICÓLICO (NEUROTUBE) Y SUS EFECTOS CON PROGESTERONA IN SITU EN LA REPARACIÓN PRIMARIA DE SECCIONES TRAUMÁTICAS BAJAS DEL NERVIO MEDIANO Y CUBITAL EN HUMANOS.","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","LUIS CAÑEDO DORANTES","Nivel 3","UNIVERSIDAD DE MORELOS",BIOQUIMICA
"TRATAMIENTO LOCAL DE TUMORES MALIGNOS POR RADIOFRECUENCIA ASISTIDO POR NAVEGACIÓN","INSTITUTO NACIONAL DE REHABILITACION","JORGE MARQUEZ FLORES","Nivel 1","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","ANALISIS DE IMAGENES Y VISUALIZACION CIENTIFICA"
"TRATAMIENTO LOCAL DE TUMORES MALIGNOS POR RADIOFRECUENCIA ASISTIDO POR NAVEGACIÓN","INSTITUTO NACIONAL DE REHABILITACION","FERNANDO ARAMBULA COSIO","Nivel 1","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","ANALISIS DE IMAGENES MEDICAS Y CIRUGIA ASISTIDA POR COMPUTADORA"
"TRATAMIENTO LOCAL DE TUMORES MALIGNOS POR RADIOFRECUENCIA ASISTIDO POR NAVEGACIÓN","INSTITUTO NACIONAL DE REHABILITACION","FELIPE ALTAMIRANO DEL MONTE",,"CENTRO DE CIENCIAS APLICADAS Y DESARROLLO TECNOLOGICO","INSTRUMENTACION PARA SIMULACION QUIRURGICA"
"TRATAMIENTO LOCAL DE TUMORES MALIGNOS POR RADIOFRECUENCIA ASISTIDO POR NAVEGACIÓN","INSTITUTO NACIONAL DE REHABILITACION","MIGUEL ANGEL PADILLA CASTAÑEDA",,"CENTRO DE CIENCIAS APLICADAS Y DESARROLLO TECNOLOGICO","MODELOS GRAFICOS TRIDIMENSIONALES DE ORGANOS"
"ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.","INSTITUTO NACIONAL DE REHABILITACION","DIANA ALICIA GAYOL MÉRIDA",,"INSTITUTO NACIONAL DE REHABILITACIÓN","INGENIERÍA BIOMÉDICA"
"ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.","INSTITUTO NACIONAL DE REHABILITACION","ALEJANDRA DEL CARMEN DE ALBA MAYANS",,"UNIVERSIDAD IBEROAMERICANA","INGENIERÍA BIOMÉDICA"
"EFECTO DE LA TERAPIA CON VIBRACIÓN EN LA POLINEUROPATÍA DIABÉTICA","INSTITUTO NACIONAL DE REHABILITACION","JORGE LETECHIPIA MORENO",,"INSTITUTO NACIONAL DE REHABILITACION","INGENIERIA DE REHABILITACION"
"ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.","INSTITUTO NACIONAL DE REHABILITACION","JORGE ERNESTO LETECHIPIA MORENO",,"INSTITUTO NACIONAL DE REHABILITACIÓN","INGENIERÍA DE REHABILITACIÓN"
"ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.","INSTITUTO NACIONAL DE REHABILITACION","RAÚL PERALTA HERNÁNDEZ",,"INSTITUTO NACIONAL DE REHABILITACIÓN","ORTESISTA PROTESISTA"
"DESARROLLO DE UN PROCESO BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y DE UN PROCESO QUÍMICO PARA SU TRANSFORMACIÓN EN EL ANTIVIRAL OSELTAMIVIR.","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","ALFREDO MARTÍNEZ JIMÉNEZ","Nivel 1","UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO","INGENIERÍA METABÓLICA"
"DESARROLLO DE UN PROCESO BIOTECNOLÓGICO PARA LA PRODUCCIÓN DEL PRECURSOR SHIKIMATO Y DE UN PROCESO QUÍMICO PARA SU TRANSFORMACIÓN EN EL ANTIVIRAL OSELTAMIVIR.","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","OCTAVIO TONATIUH RAMIREZ REIVICH","Nivel 3","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","INGENIERIA QUIMICA"
"ESTUDIO INTEGRAL DEL ESTADO DE SALUD EN INDIVIDUOS OCUPACIONALMENTE EXPUESTOS A PLAGUICIDAS: BIOMARCADORES DE EFECTO,  EXPOSICION Y SUCEPTIBILIDAD GENETICA","UNIVERSIDAD AUTONOMA DE NAYARIT","MARIA DE LOURDES ROBLEDO MARENCO",,"UNIVERSIDAD AUTÓNOMA DE NAYARIT","CONTAMINACIÓN AMBIENTAL"
"TÍTULO INGENIERÌA TISULAR PARA LA FORMACIÓN DE HUESO UTIL PARA AUTOTRANSPLANTE",,"MANUEL GOMÈZ LIN","Nivel 2","CENTRO DE INVESTIGACIÓN Y ESTUDIOS AVANZADOS CINVESTAV, SEDE IRAPUATO, DEPARTAMENTO DE BIOLOGÍA MOLECULAR",BIOTECNOLOGÍA
"INHIBICIÓN LOCAL DEL FACTOR DE NECROSIS TUMORAL ALFA (TNF) COMO COADYUVANTE DEL TRATAMIENTO DE LA QUERTITIS ULCERATIVA PERIFÉRICA ASOCIADA A ENFERMEDADES AUTOINMUNES","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","BENJAMIN ORTIZ",,"DEPARTAMENTO DE BIOMEDICINA MOLECULAR, CINVESTAV","BIOLOGIA ANIMAL Y ZOOLOGIA"
"INHIBICIÓN LOCAL DEL FACTOR DE NECROSIS TUMORAL ALFA (TNF) COMO COADYUVANTE DEL TRATAMIENTO DE LA QUERTITIS ULCERATIVA PERIFÉRICA ASOCIADA A ENFERMEDADES AUTOINMUNES","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","ALBERTO DIAZ QUIÑONEZ",Candidato,"LABORATORIOS SILANES SA DE CV",INMUNOLOGIA
"INHIBICIÓN LOCAL DEL FACTOR DE NECROSIS TUMORAL ALFA (TNF) COMO COADYUVANTE DEL TRATAMIENTO DE LA QUERTITIS ULCERATIVA PERIFÉRICA ASOCIADA A ENFERMEDADES AUTOINMUNES","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","JORGE PANIAGUA SOLIS","Nivel 1","LABORATORIOS SILANES SA DE CV",INMUNOLOGIA
"EFECTO A LARGO PLAZO DE LA SUPLEMENTACIÓN CON  ÁCIDOS GRASOS OMEGA-3 EN PACIENTES PEDIÁTRICOS HIPERTRIGLICERIDÉMICOS CON SOBREPESO U OBESIDAD.","HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ","ELISEO RUÍZ BEDOLLA",,"HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ","BIOQUÍMICA CLÍNICA"
"EVALUCIÓN DE MARCADORES DE RIESGO GENÉTICOS, BIOQUÍMICOS Y ANTROPOMÉTRICOS EN PACIENTES OBESOS Y DIABETICOS CON HÍGADO GRASO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","AMADOR COVARRUBIAS PINEDO",,"O.P.D. HOSPITAL CIVIL JUAN I. MENCHACA","CIRUGÍA GENERAL Y SUBESPECIALIDAD EN COLON Y RECTO"
"EVALUCIÓN DE MARCADORES DE RIESGO GENÉTICOS, BIOQUÍMICOS Y ANTROPOMÉTRICOS EN PACIENTES OBESOS Y DIABETICOS CON HÍGADO GRASO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ANA ROSA RINCON SANCHEZ",,"UNIVERSIDAD DE GUADALAJARA",FARMACOLOGÍA
"EVALUCIÓN DE MARCADORES DE RIESGO GENÉTICOS, BIOQUÍMICOS Y ANTROPOMÉTRICOS EN PACIENTES OBESOS Y DIABETICOS CON HÍGADO GRASO","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","PARVATHI KUMMARA REDDY THAVANATI",Candidato,"UNIVERSIDAD DE GUADALAJARA","GENETICA DE POBLACIONES"
"CARACTERIZACIÓN DEL PROCESO INFLAMATORIO DE LA ENFERMEDAD ATEROSCLEROSA CAUSADO POR LIPOPROTEÍNAS DE BAJA DENSIDAD OXIDADA A TRAVÉS DE LOS RECEPTORES SEMEJANTES A TOLL EN CÉLULAS PROVENIENTES DE PACIENTES CON SÍNDROME CORONARIO AGUDO","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","LUIS CHAVEZ SANCHEZ",,IMSS,INMUNOLOGIA
"CARACTERIZACIÓN DEL PROCESO INFLAMATORIO DE LA ENFERMEDAD ATEROSCLEROSA CAUSADO POR LIPOPROTEÍNAS DE BAJA DENSIDAD OXIDADA A TRAVÉS DE LOS RECEPTORES SEMEJANTES A TOLL EN CÉLULAS PROVENIENTES DE PACIENTES CON SÍNDROME CORONARIO AGUDO","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","MA VICTORIA LEGORRETA AQUET",,IMSS,INMUNOLOGIA
"RESISTENCIA FARMACOCINÉTICA-FARMACODINÁMICA EN LA TERAPIA DEL CÁNCER","INSTITUTO NACIONAL DE CANCEROLOGIA","NATALI GUERRERO VARGAS",,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO","BIOLOGIA HUMANA"
"ENSAYO CLINICO ALEATORIO SOBRE EL USO DE PROBIOTICOS EN PACIENTES CON CANCER CERVICOUTERINO EN ETAPAS CLINICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE","INSTITUTO NACIONAL DE CANCEROLOGIA","LUIS ALONSO HERRERA MONTALVO","Nivel 3","INSTITUTO NACIONAL DE CANCEROLOGIA","BIOLOGIA HUMANA"
"ESTUDIO FASE III,  ALEATORIO MULTICÉNTRICO, QUE COMPARA QUIMIOTERAPIA Y RADIOTERAPIA CONCURRENTE CON Y SIN NITROGLICERINA, EN PACIENTES CON CÁNCER DE PULMÓN DE CÉLULAS NO PEQUEÑAS LOCALMENTE AVANZADO","INSTITUTO NACIONAL DE CANCEROLOGIA","NORMA YANET HERNÁNDEZ PEDRO",,"INSTITUTO NACIONAL DE CANCEROLOGÍA","BIOLOGIA MOLECULAR"
