"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"UNA APROXIMACION SOCIOEPIDEMIOLOGICA DE LA TUBERCULOSIS PULMONAR EN TRABAJADORES AGRICOLAS POBLANOS QUE MIGRAN A CANADA","Benemérita Universidad Autónoma de Puebla","Elías Bernardo Pezzat Said",,"Enfermedades Infecciosas y Parasitarias"
"ANALISIS DE LOS POLIMORFISMOS -216 G-T, -191 C-A, (CA)N IVS 1, R497K Y EXPRESION DEL GEN EGFR EN PACIENTES CON CANCER GASTRICO","Instituto Mexicano del Seguro Social","Josefina Yoaly Sánchez López",1,"Neoplasias Malignas"
"FOMENTO Y FORTALECIMIENTO DEL BINOMIO MEDICINA BASADA EN EVIDENCIAS-MEDICINA BASADA EN VALORES EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL","Instituto Mexicano del Seguro Social","Myriam Marlenne Altamirano Bustamante",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"CORRELACION ENTRE  TOLERANCIA A LPS Y MODULADORES DE RESPUESTA INFLAMATORIA EN SEPSIS NEONATAL (CURSO CLINICO Y PRONOSTICO)","Instituto Mexicano del Seguro Social","Yelda Aurora Leal Herrera",1,"Enfermedades Infecciosas y Parasitarias"
"CARACTERIZACION GENETICA, PROTEICA E INMUNOLOGICA DE LA SUBCEPA BACILO DE CALMETTE-GUERIN BCG MEXICO","Laboratorios de Biológicos y Reactivos de México","Yolanda López Vidal",3,"Enfermedades Infecciosas y Parasitarias"
"DESARROLLO Y VALIDACION DE UNA PRUEBA DE DIAGNOSTICO DE LA TUBERCULOSIS PULMONAR EMPLEANDO LOS ANTIGENOS ESAT-6 Y CFP-10 DE MYCOBACTERIUM TUBERCULOSIS UNIDOS A MICROESFERAS","Universidad Autónoma de Nuevo León","Adrian Geovanni Rosas Taraco",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DESARROLLO DE PLANTILLAS ERGONOMICAS PARA USUARIOS CON SOBREPESO Y DEFORMACION PLANTAR EN LOS PIES","Centro de Investigación y Asesoría Tecnológica en Cuero y Calzado","María Maldonado Vega",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ESTUDIO Y DESARROLLO DE UN EQUIPO DE RADIACION ULTRASONICA ENFOCADA Y DE ALTA INTENSIDAD PARA EL TRATAMIENTO DE CANCER","Centro de Investigación y de Estudios Avanzados del IPN","Arturo Vera Hernández",1,"Neoplasias Malignas"
"VARIACION  EN LOS GENES DE REPARACION DEL ADN: EVALUACION DE FACTORES DE RIESGO CON CHEMOTHERAPIA EN PACIENTES DE CANCER DE MAMA","Universidad de Guadalajara","Parvathi Kumara Reddy Thavanati",1,"Neoplasias Malignas"
"EVALUACION DE CARACTERISTICAS PSICOSOCIALES DEL PACIENTE DIABETICO ADULTO MAYOR PARA EL DISEÑO DE PROGRAMAS  DE APOYO A LA ADHERENCIA TERAPEUTICA Y EL CONTROL GLICEMICO","Universidad de Sonora","Miriam Teresa Domínguez Guedea",1,"Enfermedades crónicas o degenerativas"
"DISEÑO Y EVALUACION DE UNA ESTRATEGIA PARA PREVENIR SOBREPESO Y  OBESIDAD EN  ESCOLARES DE LA CIUDAD DE MEXICO","Instituto Mexicano del Seguro Social","Marco Aurelio González Unzaga",,"Trastornos de la Nutrición"
"DESARROLLO DE VACUNAS CONTRA VIRUS DENGUE MEDIANTE ANALISIS BIOINFORMATICO DEL GENOMA VIRAL","Instituto Mexicano del Seguro Social","Gilma Guadalupe Sánchez Burgos",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"UTILIDAD DE LA PRUEBA DE ALIENTO CON [13C] GLUCOSA PARA EL DIAGNOSTICO DE RESISTENCIA A LA INSULINA.","Instituto Mexicano del Seguro Social","Mardia Guadalupe López Alarcón",2,"Trastornos de la Nutrición"
"INMUNOGENICIDAD Y SEGURIDAD DE VACUNAS CONTRA INFLUENZA A H5N1","Laboratorios de Biológicos y Reactivos de México","Mauricio Rodríguez Álvarez
",1,Influenza
"DESARROLLO DE UN ESPECTROMETRO DE PLASMA INDUCIDO POR LASER PARA LA DETERMINACION DE CONTAMINACION CON METALES PESADOS","Instituto Politécnico Nacional","Luis Vidal Ponce Cabrera",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"UN NUEVO METODO PARA EL DIAGNOSTICO TEMPRANO DE LA TRICOMONOSIS","Centro de Investigación y de Estudios Avanzados del IPN","Rossana Arroyo Verástegui",2,"Enfermedades Infecciosas y Parasitarias"
"TRANSPLANTE MENISCAL EN PACIENTES CON MENISECTOMIA COMPLETA CON SINTOMATOLOGIA INCIPIENTE","Instituto Nacional de Rehabilitación","Francisco Cruz López",,"Enfermedades crónicas o degenerativas"
"RIBOSWITCHES COMO BLANCOS DE NUEVOS AGENTES ANTIMICROBIANOS","Universidad Nacional Autónoma de México","Enrique Merino Pérez",3,"Enfermedades Infecciosas y Parasitarias"
"AUTOINMUNIDAD A COMPONENTES DEL SISTEMA INMUNE Y SU IMPLICACION EN ENFERMEDADES INFECCIOSAS.","Universidad Nacional Autónoma de México","Gabriela Bárcenas Morales",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ASOCIACION ENTRE LOS POLIMORFISMOS DE  DIVERSOS GENES QUE PARTICIPAN EN EL METABOLISMO DE LAS LIPOPROTEINAS Y LAS DISLIPIDEMIAS, EN PACIENTES CON VIH EN TRATAMIENTO PROLONGADO CON ANTIRRETROVIRALES.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Juan Jose Calva Mercado",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"PREPARACION Y EVALUACION DE RADIOCONJUGADOS DE LYS3-BOMBESINA PARA LA DETECCION ESPECIFICA Y TEMPRANA DE CANCER DE MAMA","Instituto Nacional de Investigaciones Nucleares","Guillermina Ferro Flores",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DESARROLLO DE UN SISTEMA ACARREADOR DE ANTIGENOS MEDIANTE LA EXPRESION DE UN DOMINIO  DE UNION A BIOTINA FUSIONADO CON EL AUTOTRANSPORTADOR SHDA EN LA SUPERFICIE DE SALMONELLA ENTERICA SEROVAR TYPHIMURIUM.","Instituto Mexicano del Seguro Social","Cesar Raul González Bonilla",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ESTUDIO DE LA IMPLEMENTACION DE LA ATENCION A LA SALUD REPRODUCTIVA DE LOS Y LAS ADOLESCENTES DENTRO DE LA SECRETARIA DE SALUD.","Instituto Nacional de Salud Pública","Bethany Leigh Allen Leigh",1,"Salud Reproductiva y Perinatal"
"GENERACION DE UNA VACUNA DE DNA DE TRYPANOSOMA CRUZI USADA EN LA INMUNIZACION CANINA PARA LA PREVENCION DE LA ENFERMEDAD DE CHAGAS Y SU CONTROL EN LA INFECCION DEL HUMANO.","Instituto Nacional de Cardiología ""Ignacio Chávez""","Minerva Arce Fonseca",Candidato,"Enfermedades Infecciosas y Parasitarias"
"NEURORRETROALIMENTACION DEL RITMO SENSORIMOTOR EN NIÑOS CON TRASTORNO DE APRENDIZAJE CUYO ELECTROENCEFALOGRAMA PRESENTA ACTIVIDAD EPILEPTIFORME.","Universidad Nacional Autónoma de México","Thalia Fernández Harmony",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ESTUDIO DE LA PRODUCTIVIDAD DE CRIADEROS DE AEDES AEGYPTI EN LOCALIDADES DE ALTO RIESGO DEL ESTADO DE MORELOS, MEXICO PARA LA PROPUESTA DE UNA ESTRATEGIA ENFOCADA PARA EL CONTROL DEL DENGUE","Universidad Autónoma de Yucatán","Pablo Camilo Manrique Saide",1,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACION DE NUEVOS GENES CAUSALES DE ATAXIA ESPINOCEREBELOSA","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Petra Yescas Gómez",1,"Trastornos Psiquiátricos o Neurológicos"
"ASOCIACION DE LA PROTEINA DE UNION DEL RETINOL Y SUS POLIMORFISMOS CON LA RESISTENCIA A LA INSULINA EN LA DIABETES GESTACIONAL","Instituto Mexicano del Seguro Social","Renata Saucedo García",1,"Enfermedades crónicas o degenerativas"
"IMPORTANCIA DE LOS POLIMORFISMOS EN CTLA-4, CD28 Y PTPN22 COMO MARCADORES DE SUSCEPTIBILIDAD EN ARTRITIS REUMATOIDE. ASOCIACION CON ANTICUERPOS ANTI-CCP, FACTOR REUMATOIDE Y ACTIVIDAD CLINICA.","Universidad de Guadalajara","Jose Francisco Muñoz Valle",3,"Enfermedades crónicas o degenerativas"
"ESTIGMA Y ENFERMEDAD MENTAL: UN PROGRAMA DE INTERVENCION COMUNITARIA PARA SU APLICACION EN POBLACION GENERAL Y CLINICA.","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Elia Jazmín Mora Ríos",1,"Trastornos Psiquiátricos o Neurológicos"
"FRECUENCIA DE GAMAPATIAS MONOCLONALES EN INDIVIDUOS SANOS CON ANTECEDENTE FAMILIAR DE MIELOMA MULTIPLE","Instituto Mexicano del Seguro Social","Jaime Patricio Barros Núñez",2,"Neoplasias Malignas"
"DESARROLLO Y PUESTA EN PRACTICA DE UN  SISTEMA DE GESTION TECNOLOGICA PARA LA INNOVACION EN SALUD","Instituto Mexicano del Seguro Social","Carlos Lavalle Montalvo",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DISEÑO DE UN PROGRAMA DE SALUD AMBIENTAL PARA DISMINUIR LOS RIESGOS SANITARIOS EN COMUNIDADES WIRARICAS (HUICHOLAS).","Universidad Autónoma de San Luis Potosí","Fernando Díaz Barriga Martínez",3,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"DETECCION DE COMPLICACIONES CARDIACAS EN PACIENTES CON ESCLERODERMA Y SU ASOCIACION CON SUBTIPOS CLINICOS DE LA ENFERMEDAD","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Tatiana Sofia Rodríguez Reyna",1,"Enfermedades crónicas o degenerativas"
"PROTEOMICA DE LA OSTEOARTRTIS","Centro de Investigación y de Estudios Avanzados del IPN","Juan Bautista Kouri Flores",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"HORMONAS Y ANTIHORMONAS EN LA MORBIMORTALIDAD Y EL TRATAMIENTO DE  LA CISTICERCOSIS EN HUMANOS Y EN MODELOS EXPERIMENTALES.","Centro de Investigación y de Estudios Avanzados del IPN","Marta Catalina Romano Pardo",3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"EVALUACION DE MARCADORES MOLECULARES CANDIDATOS PARA EFECTUAR PRONOSTICO DE PARTO PRETERMINO.","Instituto Nacional de Perinatología","Felipe Vadillo Ortega",3,"Salud Reproductiva y Perinatal"
"ESTUDIOS DE FASE CLINICA II SOBRE LOS EFECTOS TERAPEUTICOS ANTIADICTIVOS DE LA MIRTAZAPINA (REMERON) EN SUJETOS HUMANOS ADICTOS A COCAINA.","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Benito Antón Palma",2,"Trastornos Psiquiátricos o Neurológicos"
"EFECTO DE LA SUPLEMENTACION ORAL CON LACTOBACILLUS CASEI SUBESPECIE  RHAMNOSUS SOBRE LA COLONIZACION INTESTINAL POR ENTEROBACTERIAS PRODUCTORAS DE BLEES, STAPHYLOCOCCUS SPP.Y CANDIDA SPP. EN RECIEN NACIDOS.","Instituto Mexicano del Seguro Social","María Guadalupe Miranda Novales",1,"Enfermedades Infecciosas y Parasitarias"
"FACTORES ASOCIADOS AL RETRASO EN LA ATENCION MEDICA DE MUJERES CON CANCER DE MAMA","Universidad Nacional Autónoma de México","Claudia Begoña Infante Castañeda",,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"INFECCION, INFLAMACION Y CANCER; ESTUDIO PARA EL DESARROLLO DE PRUEBAS DIAGNOSTICAS Y LA IDENTIFICACION DE BIOMARCADORES DE RIESGO, PRONOSTICO Y PREVENCION.","Instituto Mexicano del Seguro Social","Francisco Javier Torres López",3,"Neoplasias Malignas"
"PREVALENCIA DEL SINDROME METABOLICO ENTRE LA POBLACION DERECHOHABIENTE DEL ISSSTE, SUS POSIBLES ASOCIACIONES CLINICAS Y EPIDEMIOLOGICAS, Y SU RELACION CON LA COMPOSICION ETNICA DE LOS INDIVIDUOS.","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Juan Antonio González Barrios",1,"Enfermedades crónicas o degenerativas"
"CARACTERIZACION DE MUTACIONES EN LOS GENES TTF-1, TTF-2 Y PAX8 EN PACIENTES CON DIAGNOSTICO DE HIPOTIROIDISMO CONGENITO POR DISGENESIA","Instituto Nacional de Pediatria","Miguel Ángel Alcántara Ortigoza",1,"Salud Reproductiva y Perinatal"
"ECOLOGIA E INCRIMINACION DE VECTORES Y RESERVORIOS DE LEIHSMANIASIS CUTANEA EN LA REGION FRONTERIZA DE CHIAPAS, MEXICO.","Instituto Nacional de Salud Pública","Carlos Felix Marina Fernández",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"SINDROME DE COLON IRRITABLE: PAPEL ETIOLOGICO DE PROTOZOO INTESTINALES Y DE LOS POLIMORFISMOS DE CITOCINAS PROINFLAMATORIAS","Hospital General ""Dr. Manuel Gea González""","Jose Pablo Maravilla Campillo",2,"Enfermedades Infecciosas y Parasitarias"
"DISEÑO Y DESARROLLO DE ASIENTOS CONFORMADOS PARA NIÑOS CON  DISCAPACIDAD","Universidad Iberoamericana","Jorge Ernesto Letechipia Moreno",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"HAPLOTIPOS DEL GEN PADI4 EN PACIENTES CON ARTRITIS REUMATOIDE Y ASOCIACION CON ANTICUERPOS ANTI-PEPTIDO CITRULINADO CICLICO (ANTI-PCC)","Instituto Mexicano del Seguro Social","Mario Salazar Páramo",2,"Enfermedades crónicas o degenerativas"
"CELULAS TRONCALES LEUCEMICAS: CARACTERIZACION BIOLOGICA IN VITRO Y ESTUDIO DE SISTEMAS DE CULTIVO PARA EVALUAR EL EFECTO DE AGENTES ANTINEOPLASICOS Y ELIMINAR, DE MANERA SELECTIVA, A CELULAS HEMATOPOYETICAS LEUCEMICAS","Instituto Mexicano del Seguro Social","Hector de Jesus Mayani Vivéros",3,"Neoplasias Malignas"
"EVALUACION CLINICA DEL EFECTO CICATRIZANTE EN ULCERAS VENOSAS DE MIEMBROS INFERIORES DEL FITOFARMACO MT-1 (MIMOSA TENUIFLORA CORTEX).","Instituto Mexicano del Seguro Social","Armando H. Herrera Arellano",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"TAMIZ PRE Y POSNATAL DE INFECCIONES CONGENITAS EN LA CIUDAD DE MEXICO","Instituto Nacional de Pediatria","Marcela Beatriz Vela Amieva",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"FACTORES ASOCIADOS A LA INCIDENCIA Y REVERSION DE LA INFECCION POR H. PYLORI EN ESCOLARES DE BAJO NIVEL ECONOMICO EN LA CIUDAD DE MEXICO.","Instituto Mexicano del Seguro Social","María Ximena Duque López",1,"Enfermedades Infecciosas y Parasitarias"
"INFLUENCIA DE LOS HAPLOTIPOS -T31C Y -C511T EN EL PROMOTOR DEL GEN DE IL-1BETA Y DE LA EXPANSION -2600(CCTTT)N EN EL PROMOTOR DEL GEN DE  INOS-A EN EL DESARROLLO DE PARALISIS CEREBRAL INFANTIL SECUNDARIA A HIPOXIA/ISQUEMIA PERINATAL","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Juan Antonio González Barrios",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"PRODUCCION SEMI-INDUSTRIAL Y ESTUDIO DE LA ADMINISTRACION CRONCA DEL FITOMEDICAMENTO DE GALPHIMIA GLAUCA EN PACIENTES CON TRASTORNO DE ANSIEDAD GENERALIZADA. ENSAYO CLINICO ALEATORIZADO, DOBLE CIEGO Y CONTROLADO CON LORAZEPAM.","Instituto Mexicano del Seguro Social","Jaime Tortoriello García",3,"Trastornos Psiquiátricos o Neurológicos"
"SEROENCUESTA, CARACTERIZACION CLINICA Y MODELAJE DE LA ENCEFALITIS EQUINA VENEZOLANA EN POBLACION HUMANA DE LA COSTA DE CHIAPAS DESPUES DEL HURACAN STAN","Universidad Autónoma de Chiapas","Francisco Javier Ramírez Aguilar",Candidato,"Enfermedades Infecciosas y Parasitarias"
"ANALISIS DE POLIMORFISMOS GENETICOS ASOCIADOS AL DESARROLLO DE PREECLAMPSIA EN MUJERES DE ORIGEN MESTIZO-MEXICANO Y MESTIZO-MAYA.","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Ileana Patricia Canto Cetina",2,"Salud Reproductiva y Perinatal"
"ESTUDIO DE METILACION DE PROMOTORES Y EXPRESION DE DETERMINADOS GENES RELACIONADOS CON LA ETIOLOGIA Y PROGRESION DEL MIELOMA MULTIPLE EN PACIENTES DE  RECIENTE DIAGNOSTICO Y EN RECAIDA.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Déborah María Martínez Baños",,"Neoplasias Malignas"
"ELABORACION DE UNA VACUNA PERTUSSIS ACELULAR DE DOS COMPONENTES","Laboratorios de Biológicos y Reactivos de México","Antonio Sánchez Sánchez",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"POLIMORFISMOS GENICOS RELACIONADOS CON   OSTEOPOROSIS DE CADERA  EN MUJERES MEXICANAS","Instituto Nacional de Rehabilitación","Margarita Valdés Flores",1,"Enfermedades crónicas o degenerativas"
"IDENTIFICACION Y OBTENCION DE MARCADORES MOLECULARES PARA EL CANCER CERVICO UTERINO","Instituto Mexicano del Seguro Social","Mauricio Salcedo Vargas",3,"Neoplasias Malignas"
"COMPARACION DEL EFECTO DE LA SUPLEMENTACION DIARIA CON DOS FORMAS DE HIERRO: SULFATO FERROSO VS. HIERRO BIS-GLICINO- AMINOQUELADO, SOBRE EL ESTADO NUTRICIO DE HIERRO EN ESCOLARES CON DEFICIENCIA DE HIERRO Y/O ANEMIA","Instituto Mexicano del Seguro Social","María Ximena Duque López",1,"Trastornos de la Nutrición"
"EXPOSICION A HUMO DE TABACO AMBIENTAL, SALUD Y PRODUCTIVIDAD EN TRABAJADORES DE BARES Y RESTAURANTES","Instituto Nacional de Salud Pública","Tonatiuh Barrientos Gutiérrez",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"ESTUDIO MULTIDISCIPLINARIO DE ENFERMEDADES REUMATICAS: UN ESTUDIO DE BASE POBLACIONAL","Universidad Autónoma de Nuevo León","Mario Alberto Garza Elizondo",1,"Enfermedades crónicas o degenerativas"
"EFECTO DE LA SUPLEMENTACION CON VITAMINA D SOBRE LA RESISTENCIA A LA LEPTINA, EL APETITO, EL PESO CORPORAL Y EL GASTO DE ENERGIA EN MUJERES CON OBESIDAD","Instituto Nacional de Salud Pública","Mario Efraín Flores Aldana",1,"Enfermedades crónicas o degenerativas"
"DISEÑO DE UN NUEVO INMUNOESTIMULADOR (ADYUVANTE) PARA DESARROLLO Y/O MEJORAMIENTO DE VACUNAS HECHO CON PORINAS DE SALMONELLA ENTERICA SEROVAR TYPHI","Instituto Mexicano del Seguro Social","Constantino III Roberto López Macías",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"1.	REGULACION DE LAS PROTEINAS DE MULTI-RESISTENCIA A DROGAS POR EL FACTOR DE TRENSCRIPCION YIN-YANG 1 (YY1) EN LA LEUCEMIA LINFOCITICA AGUDA: IMPLICACIONES PARA LA PRACTICA CLINICA","Hospital Infantil de México Federico Gómez","Sara Huerta Yépez",2,"Neoplasias Malignas"
"DISEÑO, DESARROLLO Y EVALUACION DE UN SISTEMA INTERACTIVO DE COMUNICACION CONVERSACIONAL BASADO EN COMPUTADORA PARA PERSONAS CON DISCAPACIDAD DEL HABLA","Universidad Iberoamericana","Jorge Andres Martínez Alarcón",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"DESARROLLO DE UN ENSAYO PARA LA DETERMINACION DE INTERACCIONES FARMACOLOGICAS Y SENSIBILIDAD A FARMACOS DE MICOBACTERIAS NO TUBERCULOSAS","Instituto Politécnico Nacional","Julieta Luna Herrera",2,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACION DE POLIMORFISMOS GENETICOS DE CD24 ASOCIADOS A LA DISFUNCION NEUROLOGICA PRESENTE EN PACIENTES CON ESCLEROSIS MULTIPLE","Centro Médico Nacional 20 de Noviembre","María del Cármen Chima Galán",,"Trastornos Psiquiátricos o Neurológicos"
"ESTUDIO DE LA INCIDENCIA Y EVOLUCION DE LAS ESPONDILOARTRITIS EN LA POBLACION GENERAL.","Hospital General de México","Ruben Burgos Vargas",3,"Enfermedades crónicas o degenerativas"
"EVALUACION DE UNA ESTRATEGIA DE INTERVENCION COMUNITARIA PARA PREVENIR LAS PRINCIPALES COMPLICACIONES MATERNAS EN UNA COMUNIDAD MAYA DE YUCATAN, MEXICO.","Universidad Autónoma de Yucatán","Elsa María Rodríguez Angúlo",1,"Salud Reproductiva y Perinatal"
"DISEÑO Y EVALUACION DE UN MODELO DE ASISTENCIA SOCIO-MEDICA A DERECHOHABIENTES DEL IMSS MAYORES DE 60 AÑOS","Instituto Mexicano del Seguro Social","María del Carmen García Peña",2,"Grupos Vulnerables"
"EVALUAR LA EFECTIVIDAD E IMPACTO DE LA APLICACION DE UN PROGRAMA DE ESTIMULACION COGNITIVA EN ANCIANOS CON DEMENCIA","Instituto Mexicano del Seguro Social","Teresa Juárez Cedillo",1,"Grupos Vulnerables"
"DETERMINACION DE LA ETIOLOGIA VIRAL EN INFECCIONES RESPIRATORIAS BAJAS EN NIÑOS HOSPITALIZADOS MENORES DE 5 AÑOS DE EDAD CON REPRESENTATIVIDAD NACIONAL.","Fundación Mexicana para la Salud","Jose Ignacio Santos Preciado",3,"Enfermedades Infecciosas y Parasitarias"
"ESTUDIO DEL EFECTO DE LA VARIANTE R230C DEL GEN DEL TRANSPORTADOR DE COLESTEROL ABCA1 Y LA DIETA EN LA REGULACION DEL PESO CORPORAL Y RASGOS METABOLICOS ASOCIADOS A LA OBESIDAD Y LA DIABETES TIPO 2","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Samuel Canizales Quinteros",2,"Enfermedades crónicas o degenerativas"
"EDUCACION EN SALUD EN EL AREA ESCOLAR (NIVEL MEDIO) Y SU RELACION CON LA EFECTIVIDAD DEL PROGRAMA DE DETECCION OPORTUNA DE CANCER CERVICO-UTERINO Y MAMARIO EN POBLACION DE NUEVO LEON","Instituto Mexicano del Seguro Social","Ana Laura Calderón Garcidueñas",1,"Neoplasias Malignas"
"FACTORES DE RIESGO DEL HUESPED Y AMBIENTALES ASOCIADOS AL DESARROLLO DE FIBROSIS PULMONAR IDIOPATICA.","Instituto Nacional de Enfermedades Respiratorias","Moisés Eduardo Selman Lama",3,"Enfermedades crónicas o degenerativas"
"PREVALENCIA DE INFECCIONES MULTIPLES DE VPH EN LESIONES PREMALIGNAS Y CANCER CERVICO UTERINO Y ANALISIS DE COMPETENCIA ENTRE VPHS DE ALTO RIESGO .","Instituto Nacional de Cancerología","Marcela Lizano Soberón",2,"Neoplasias Malignas"
"EVALUAR LA PRESENCIA DE AUTOANTICUERPOS ANTI-AQUAPORINA-4 EN SUERO DE PACIENTES CON DIAGNOSTICO DE ESCLEROSIS MULTIPLE PATRON CLINICO DE BROTE REMISION (EM-BR)","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","María Lucinda Aguirre Cruz",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"ADIPOCINAS Y MARCADORES DE RIESGO CARDIOVASCULAR EN PACIENTES DIABETICOS CON DESCONTROL AGUDO","Instituto Mexicano del Seguro Social","María de Lourdes Basurto Acevedo",1,"Enfermedades crónicas o degenerativas"
"IDENTIFICACION DE GLICOCONJUGADOS DE LA LECHE HUMANA COMO CANDIDATOS A MICROBICIDAS PARA PREVENIR LA INFECCION POR EL VIRUS DE INMUNODEFICIENCIA HUMANA (VIH).","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Mónica Viveros Rogel",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"¿EDUCAR PARA PREVENIR: IMPLEMENTACION Y VALIDACION DE UNA ESTRATEGIA EDUCATIVA EN ESCUELAS PRIMARIAS DE TAPACHULA, CHIAPAS, PARA LA PREVENCION DEL DENGUE.¿","Instituto Nacional de Salud Pública","Jose Luis Torres Estrada",1,"Enfermedades Infecciosas y Parasitarias"
"ESTUDIO MULTICENTRICO DEL ESPECTRO ETIOLOGICO  DE LA UROLITIASIS  EN NIÑOS","Hospital Infantil de México Federico Gómez","Francisco Hernany Velásquez Forero",1,"Enfermedades crónicas o degenerativas"
"EVALUACION DE LOS MARCADORES MOLECULARES ASOCIADOS A LAS  DEMENCIAS VASCULARES, MIXTA Y ENFERMEDAD DE ALZHEIMER EN POBLACION MEXICANA, PARA EL DESARROLLO DE PRUEBAS DE DIAGNOSTICO CONFIABLES Y DESARROLLO DE CENTROS DE ATENCION INTEGRAL AL PACIENTE.","Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""","Victoria Campos Peña",Candidato,"Enfermedades crónicas o degenerativas"
"EVALUACION DE LA EXPOSICION A DIOXINAS Y FURANOS, Y LOS EFECTOS POTENCIALES A LA SALUD DE LOS BINOMIOS MADRE-HIJO DE LA LOCALIDAD DE STA. ANA XALMIMILULCO, PUEBLA","Instituto Nacional de Salud Pública","Mary Carmen Baltazar Reyes",,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"IMPLEMENTACION DE UNA PLATAFORMA TECNOLOGICA PARA LA PRODUCCION DE VACUNAS POR EL SISTEMA CELULAS DE INSECTO-BACULOVIRUS: DESARROLLO DE UNA NUEVA VACUNA CONTRA ROTAVIRUS","Universidad Nacional Autónoma de México","Octavio Tonatiuh Ramírez Reivich",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
