Campo1,TITULO DEL PROYECTO
2012,EFECTO DE LA PROTEÍNA WNT7a SOBRE LA PROLIFERACIÓN DE CÉLULAS DERIVADAS DE PACIENTES CON LEUCEMIA LINFOBLÁSTICA AGUDA
2005,"EFECTO DE LA SUPLEMENTACIÓN CON MICRONUTRIMENTOS DEL TIPO DEL ÁCIDO FOLICO, Y VITAMINAS B6 Y B12 SOBRE LAS CONCENTRACIONES DE HOMOCISTEINA EN MUJERES MENOPAUSICAS CON ALTO RIESGO DE ENFERMEDAD CARDIOVASCULAR."
2007,"EFECTO DE LA SUPLEMENTACIÓN CON VITAMINA D SOBRE LA RESISTENCIA A LA LEPTINA, EL APETITO, EL PESO CORPORAL Y EL GASTO DE ENERGÍA EN MUJERES CON OBESIDAD"
2012,Efecto de la suplementación de los ácidos grasos eicosapentaenoico y docosahexaenoico sobre el estado inflamatorio y alteraciones metabólicas en pacientes con distrofia muscular de Duchenne/Becker
2007,"EFECTO DE LA SUPLEMENTACIÓN ORAL CON LACTOBACILLUS CASEI SUBESPECIE RHAMNOSUS SOBRE LA COLONIZACIÓN INTESTINAL POR ENTEROBACTERIAS PRODUCTORAS DE BLEES, STAPHYLOCOCCUS SPP.Y CANDIDA SPP. EN RECIÉN NACIDOS."
2010,EFECTO DE LA TERAPIA COMPLEMENTARIA CON ÁCIDO LIPOICO EN EL ESTADO INFLAMATORIO Y OXIDATIVO DE PACIENTES CON ASMA Y RINITIS ALÉRGICA
2006,EFECTO DE LA TERAPIA CON VIBRACIÓN EN LA POLINEUROPATÍA DIABÉTICA
2009,Efecto de la vibración como terapia preventiva del síndrome del pie diabético
2011,"Efecto de los polimorfismos genéticos del CYP3A4, CYP3A5, MDR1 y NAT2 sobre la Farmacocinética de nifedipina e hidralazina y su respuesta clínica en mujeres con preeclampsia-eclampsia."
2006,EFECTO DE PLASMAFERESIS PRETRASPLANTE SOBRE LA INCIDENCIA DE RECHAZO HUMORAL AGUDO EN PACIENTES ALTAMENTE SENSIBILIZADOS Y ANÁLISIS DEL COMPORTAMIENTO DE ANTICUERPOS ANTI-HLA.
2013,"EFECTO DE UNA DIETA MODERADA EN GRASA SUPLEMENTADA CON ACEITE DE PESCADO OMEGA-3 SOBRE LOS NIVELES SÉRICOS DE TNF-ALFA, ADIPONECTINA, ESTROGENOS Y EXPRESIÓN DE AROMATASA EN MUJERES OBESAS POSTMENOPAUSICAS CON DIAGNÓSTICO DE CÁNCER DE MAMA"
2009,"Efecto del ácido aminohidroxibutírico (GABOB) sobre el daño gastroduodenal inducido por el uso crónico de antiinflamatorios no esteroideos, con o sin infección por Helicobacter pylori concomitante."
2005,EFECTO DEL ALL-TRANS ÁCIDO RETINOÍCO SOBRE LOS NIVELES DEL FACTOR DE CRECIMIENTO NEURAL Y EL DESARROLLO DE NEUROPATÍA INDUCIDA POR QUIMIOTERAPIA EN PACIENTES CON CÁNCER PULMON AVANZADO
2009,EFECTO DEL BLOQUEO DE ALDOSTERONA SOBRE EL FENOMENO ISQUEMIA-REPERFUSIÓN EN el TRASPLANTE RENAL.
2008,EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATÍA CRÓNICA EN NIÑOS CON TRASPLANTE RENAL.
2008,EFECTO DEL PLASMA DE MUJERES EMBARAZADAS CON PREECLAMPSIA SOBRE CULTIVOS DE CÉLULAS ENDOTELIALES. EN BUSQUEDA DE UN FACTOR SÉRICO INDUCTOR DE DAÑO ENDOTELIAL COMO MARCADOR TEMPRANO DE PREECLAMPSIA.
2010,EFECTO EN EL VACIAMIENTO GÁSTRICO POSTERIOR A FUNDUPLICATURA TIPO NISSEN CON VAGOTOMIA POSTERIOR Y SERIOMIOTOMIA ANTERIOR EN RATAS
2010,EFECTO HIPOGLUCEMIANTE DE Cecropia obtusifolia EN PACIENTES CON DIABETES TIPO 2 DE RECIENTE DIAGNÓSTICO
2009,EFECTO LA PROLACTINA SOBRE LA FUNCIÓN DE LOS LINFOCITOS T REGULADORES DE PACIENTES CON LUPUS ERITEMATOSO SITÉMICO Y SU POTENCIAL APLICACIÓN EN EL TRATAMIENTO
2012,Efecto protector de la espironolactona sobre el daño tubular en el trasplante renal.
2010,Efecto terapéutico de la cerebrolisina en la esquizofrenia
2005,"EFECTOS A LARGO PLAZO SOBRE EL DESARROLLO NEUROCONDUCTUAL DE LA EXPOSICIÓN IN UTERO A P,P'-DDE."
2008,EFECTOS ANTIHIPERPLASICOS DEL YODO MOLECULAR (I2) EN PACIENTES CON HIPERPLASIA PROSTÁTICA BENIGNA
2004,Efectos auditivos y vestibulares en trabajadores expuestos a disolventes orgánicos.
2005,EFECTOS DE LA ADMINISTRACIÓN PERIOVULATORIA DE LEVONORGESTREL SOBRE LA EXPRESIÓN DE PROTEÍNAS ENDOMETRIALES QUE AFECTAN LA FERTILIZACIÓN: UN NUEVO MECANISMO DE ACCIÓN DE LA ANTICONCEPCIÓN DE EMERGENCIA.
2013,Efectos de la entrevista motivacional sobre la adherencia al tratamiento y calidad de vida en pacientes con diabetes mellitus tipo 2
2005,"EFECTOS DE LA ESTIMULACION ELECTROMAGNÉTICA EN LA REPLICACION Y DIFERENCIACION NEURAL DE CÉLULAS MADRE DE CEREBRO, CORDON UMBILICAL Y DE INTESTINO."
2005,"EFECTOS DE LA MIGRACION TRANSNACIONAL Y DE LAS REMESAS DEL EXTRANJERO SOBRE LOS PATRONES DE CONSUMO DE ALIMENTOS, LA ACTIVIDAD FISICA, EL SOBREPESO Y LA OBESIDAD EN NIÑOS MEXICANOS EN EDAD ESCOLAR."
2006,EFECTOS DE LOS FLAVONOIDES Y EL TELMISARTAN EN PROCESOS DE REMODELACIÓN CARDIACA EN SUJETOS JÓVENES DISLIPIDEMICOS CON HIPERTENSIÓN LEVE A MODERADA
2012,EFECTOS DE UN ESTUDIO DE INTERVENCIÓN CON METFORMINA Y ÁCIDO LINOLEICO CONJUGADO SOBRE LOS NIVELES SÉRICOS Y EXPRESIÓN EN TEJIDO ADIPOSO DE CITOCINAS INFLAMATORIAS EN PACIENTES PEDIÁTRICOS CON OBESIDAD
2007,"EFECTOS DEL CAMBIO CLIMÁTICO SOBRE LA CALIDAD DEL AGUA Y LAS ENFERMEDADES HÍDRICAS EN LA CIUDAD DE MÉXICO: RIEGOS, VULNERABILIDAD Y ADAPTACIÓN."
2013,Efectos en el perfil neurocognoscitivo de la exposición in utero a fármacos inmunosupresores en hijos de mujeres con trasplante renal.
2002,"EFECTOS EN EL RIÑÓN Y EXPOSICIÓN A PLOMO EN SANTA MARIA ATZOMPA, OAXACA."
2002,EFECTOS REPRODUCTIVOS ASOCIADOS CON LA EXPOSICIÓN A PLAGUICIDAS EN TRABAJADORES DE LA INDUSTRIA DE FLORES EN MÉXICO
2012,Efectos sobre la función tiroidea y estrés oxidativo por la exposición a Arsénico (As) y Fluoruros (F) durante el embarazo.
2012,EFICACIA DE 5-METIL-1-FENIL-2-(1H)-PIRIDONA EN EL TRATAMIENTO DE PACIENTES CON PIE DIABÉTICO
2011,EFICACIA DE INICIADORES PARA LA DETECCIÓN DE DIFERENTES REGIONES DEL VIRUS DE LA HEPATITIS B EN PACIENTES Y DONADORES DE SANGRE REACTIVOS A ANTI-CORE Y AgVHBs NO DETECTABLE.
2012,Eficacia de la terapia nutricional y la educación a través de un sistema multimedia para el control metabólico del paciente con diabetes tipo 2. Ensayo Clínico Aleatorizado.
2008,EFICACIA DE LA ALIMENTACIÓN ENTERAL CON UNA FÓRMULA DE HIDROLIZADOS DE PROTEÍNAS CON TRIGLICÉRIDOS DE CADENA MEDIA EN LA PREVENCIÓN DE DESNUTRICIÓN EN LACTANTES CON ATRESIA DE VÍAS DE BILIARES.
2009,"EFICACIA DE LA DISCOGRAFÍA TERAPÉUTICA Y DE LA CIRUGÍA DE FUSIÓN CON INSTRUMENTACIÓN EN PACIENTES CON DOLOR LUMBAR Y/O CIÁTICO CRÓNICO DE ORIGEN DISCÓGENO, REFRACTARIO A TRATAMIENTO CONSERVADOR."
2010,Eficacia de Sacbe para disminuir índice de masa corporal y mejorar parámetros metabólicos de niños/adolescentes con sobrepeso/obesidad y otros factores de riesgo para desarrollar diabetes tipo 2
2013,"Eficacia de un abordaje familiar e interdisciplinario para prevención de diabetes, y su efecto sobre perfiles familiares e individuales de secreción de insulina y resistencia a la insulina en pacientes con prediabetes."
2003,Eficacia de una solución de citrato de potasio y dieta baja en sodio para la prevención de litiasis urinaria.
2008,EFICACIA DEL USO DE BIFOSFONATOS PARA EL TRATAMIENTO DE LA CALCINOSIS DISTRÓFICA EN PACIENTES CON ENFERMEDADES AUTOINMUNES
2011,Eficacia y adherencia de dos intervenciones para el control de peso en mujeres con obesidad mórbida
2010,"Eficacia y seguridad de dosis altas de 4-aminopiridina en pacientes con lesión crónica clinicamente completa de médula espinal cervical. Ensayo clínico controlado, aleatorizado, cegado."
2009,"Eficacia y seguridad del tratamiento con Atorvastatina 80 mg día, como adyuvante de la terapia antiviral, en la disminución de la incidencia de insuficiencia respiratoria grave, en el paciente con neumonía asociada al virus de influenza AH1N1. Ensayo"
2012,Eficiencia de insecticidas biorracionales de última generación en el control de vectores del dengue.
2009,Eficiencia y dinámica de la transmisión vertical de virus dengue en focos persistentes en México.
2002,"EL ÁCIDO DOCOSAHEXAENOICO (DHA) DE LA DIETA INHIBE EL EFECTO NEGATIVO DE LAS INFECCIONES SOBRE EL ESTADO NUTRICIO AL MODULAR LA PRODUCCIÓN DE IL-1BETA, IL-6, IL-8, TNF ALFA Y LEPTINA EN NIÑOS CON SEPSIS Y NEUMONÍA."
2010,El canal de potasio Eag1 como un potencial blanco terapéutico para el Cáncer cérvico-uterino y su expresión en citologías cervicales de pacientes bajo influencia estrogenómica o antiestrogenómica
2006,EL CÁNCER DE MAMA DESDE LA PERSPECTIVA DE ADOLESCENTES: EXPLORACIÓN DE IMAGEN Y SIGNIFICADOS PARA UNA PROPUESTA EDUCATIVA
2004,EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS
2005,EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS
2011,El Gen AKNA Como Biomarcador Asociado a Cáncer Cervicouterino: caracterización In Vivo e In Vitro
2004,EL PAPEL DE EXPOSICIÓN AL PLOMO PRE Y POSTNATAL EN LA FUNCIÓN EJECUTIVA Y ATENCIÓN EN ADOLESCENTES
2002,EL PEATON ADULTO LESIONADO EN EVENTOS DE TRAFICO DE VEHICULOS DE MOTOR DURANTE EL TRAYECTO CASA-TRABAJO-CASA.
2004,EL SEGURO POPULAR DE SALUD PARA FAMILAS CON MIGRANTES EN ESTADOS UNIDOS
2004,El sistema de salud en México ante los desafíos demográficos epidemiológicos sociales y económicos en los próximos 50 años
2003,EL TRANSCRIPTOMA DE RETINOBLASTOMAS PRIMARIOS.
2008,"EL USO DE LA N-ACETILCISTEINA PARA MEJORAR EL ÍNDICE DE DESEMPEÑO VENTRICULAR IZQUIERDO Y SU EFECTO EN LA PEROXIDACIÓN LÍPIDICA, CON EL OBJETO DE ENCONTRAR UN NUEVO ESQUEMA DE TRATAMIENTO DURANTE LA REPERFUSIÓN CORONARIA EN EL INFARTO AGUDO DEL MIOCA"
2003,ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD
2007,ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES
2006,ELABORACIÓN DE UNA VACUNA RECOMBINANTE POLIVALENTE CONTRA VARIEDADES MEXICANAS DEL VIRUS DE INFLUENZA AVIAR UTILIZANDO COMO VECTOR EL VIRUS NEWCASTLE
2011,Elaboración y evaluación de una vacuna de ADN universal contra la influenza A
2009,Elaboración y evaluación de una vacuna de ADN universal contra la influenza A
2009,Embarazo adolescente y deserción escolar: explorando el papel del entorno sociofamiliar y escolar en la promoción de la salud sexual y reproductiva y en la construcción de proyectos de vida y desarrollo personal de los(as) adolescentes.
2005,"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA."
2005,EMPLEO DE LECTINAS COMO ALTERNATIVA AL DIAGNÓSTICO DE CÁNCER DE MAMA
2002,ENCUESTA CONTINUA DE SALUD EN MÉXICO
2005,ENCUESTA SOBRE LAS POSIBLES ACTITUDES Y REACCIONES DE LOS DERECHOHABIENTES DEL ISSSTE ANTE LAS PRUEBAS GENÓMICAS DE RIESGO DE CÁNCER
2011,ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2
2002,"ENFOQUE ECOSISTEMICO PARA EL DESARROLLO DE MÉTODOS DE CONTROL Y PREVENCIÓN DE DENGUE ; ESTUDIO DE CASO EN YUCATÁN, MÉXICO"
2006,ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE
2007,ENSAYO CLÍNICO CONTROLADO PARA LA EVALUACIÓN DEL EFECTO NEUROPROTECTOR DE LA DAPSONA DESPUES DE UNA LESIÓN TRAUMÁTICA DE LA MEDULA ESPINAL
2002,"ENVEJECIMIENTO, POBREZA Y SALUD EN POBLACIÓN URBANA"
2009,Epidemiología del virus de la influenza y otros virus respiratorios en granjas de producción porcina en México.
2004,Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.
2004,Epidemiología molecular de las cepas de rotavirus circulantes en México
2003,Epidemiología Molecular de S. aureus Resistente a Meticilina Adquirido en Hospitales y en la Comunidad.
2009,EPIDEMIOLOGÍA MOLECULAR DEL VIRUS DEL DENGUE EN EL NORTE DE TAMAULIPAS: PREVALENCIA DE SEROTIPOS Y ESTUDIO DE POLIMORFISMOS GENÉTICOS EN LOS PACIENTES
2013,"Epidemiología molecular, vigilancia de farmacorresistencia y evolución del virus de inmunodeficiencia humana en la Región Mesoamericana."
2009,EPIDEMIOLOGÍA Y CARACTERIZACIÓN DE LOS VIRUS DE INFLUENZA A QUE AFECTAN A LOS PORCINOS Y A LAS AVES EN MÉXICO.
2009,Epilepsia y Toxocariasis: Seropositividad de Toxocara canis en pacientes pediátricos y la relación del parásito como causa de desorden neurológico.
2003,E-SALUD: APLICACIÓN DE LAS NUEVAS TECNOLOGÍAS DEL INTERNET Y LA INFORMÁTICA A UNA JURISDICCIÓN SANITARIA TIPO EN SAN LUIS POTOSI.
2013,ESCANEO DE ALTA DENSIDAD PARA LA BÚSQUEDA DE MARCADORES GENÉTICOS ASOCIADOS A OBESIDAD INFANTIL
2010,Escaneo genómico completo del paciente con diabetes tipo 2 para la búsqueda de nuevos marcadores de asociación con la enfermedad
2005,ESCENARIOS DE INEQUIDAD AMBIENTAL Y EVALUACIÓN DE SALUD INFANTIL EN MÉXICO
2009,ESCLEROSIS MÚLTIPLE: IDENTIFICACIÓN MICROSCÓPICA DEL VIRUS DE LA VARICELA EN DIVERSAS MANIFESTACIONES CLÍNICAS
2008,"ESPECTROSCOPÍA DE RESONANCIA MAGNÉTICA NUCLEAR DE PROTÓN (Â¹H-MRS) EN PUTAMEN, CAUDADO, SUSTANCIA BLANCA FRONTAL Y AMÍGDALA EN PACIENTES CON ENFERMEDAD DE PARKINSON (EP) Y PSICOSIS."
2006,ESTABLECIMIENTO DE DIETAS CON DIFERENTE CONTENIDO DE ÁCIDOS GRASOS DE CADENA LARGA PARA REDUCIR LA HIPERTRIGLICERIDEMIA Y SUS COMPLICACIONES EN SUJETOS CON SOBREPESO U OBESIDAD PORTADORES DEL POLIMORFISMO ALA54TRE DEL GEN FABP2.
2004,Establecimiento de líneas celulares de la planta mexicana en peligro de extinción Magnolia dealata Zucc productoras de los nuevos compuestos ansiolíticos Honokiol y Magnolol con incremento en su rendimiento utilizando estrategias biotecnológicas
2006,ESTANDARIZACIÓN Y TRANSFERENCIA TECNOLÓGICA DE LOS PROCESOS DE FABRICACIÓN DE LOS SISTEMAS REDUCTORES DE PRESIÓN PARA LESIONADOS MEDULARES.
2007,ESTIGMA Y ENFERMEDAD MENTAL: UN PROGRAMA DE INTERVENCIÓN COMUNITARIA PARA SU APLICACIÓN EN POBLACIÓN GENERAL Y CLÍNICA.
2010,"Estimación de la validez del método QuantiFERON-TB Gold (QFT-G) para detectar infección tuberculosa en población pediátrica de un hospital del Estado de Sonora, México"
2011,Estrategia comunitaria de atención en salud de las personas adultas mayores en situación de desprotección social en comunidades rurales del estado de Morelos: Un modelo de atención con enfoque social.
2005,ESTRATEGIA DE INTERVENCIÓN PARA LA REDUCCIÓN DE LA GRASA ABDOMINAL EN MUJERES OBESAS: USO DEL ÁCIDO LINOLEICO CONJUGADO
2012,ESTRATEGIA DE OPTIMIZACIÓN DE LA DOSIFICACIÓN DE TACROLIMUS EN PACIENTES PEDIÁTRICOS CON TRASPLANTE RENAL
2013,Estrategia dietaria para reducir el estado proinflamatorio y la obesidad: modificación de la microbiota intestinal
2013,Estrategia educativa basada en la construcción de resiliencia y aprendizaje colaborativo para el desarrollo de conductas anticonceptivas en mujeres vulnerables.
2005,ESTRATEGIAS DE PREVENCIÓN Y TRATAMIENTO DE LA OBESIDAD EN REGIONES GEOGRÁFICAS DEFINIDAS DE MÉXICO.
2012,Estrategias farmacológicas y no-farmacológicas para el tratamiento de los síntomas tempranos en la Enfermedad de Alzheimer
2005,ESTRATIFICACIÓN EPIDEMIOLÓGICA DE LOS SEROTIPOS DEL VIRUS DENGUE Y SU ASOCIACIÓN CON CASOS DE FIEBRE POR DENGUE/FIEBRE HEMORRÁGICA POR DENGUE.
2010,"Estudio a Nivel Celular y Molecular de la Disfunción Miocardica Asociada con el Síndrome Metabólico y Obesidad: Implicación de la Inflamación, Resistencia a la Insulina y Señalización Metabólica"
2005,ESTUDIO BIOQUÍMICO GENÉTICO Y MOLECULAR DE LA FUNCIÓN MITOCONDRIAL EN PACIENTES CON ENFERMEDAD DE ALZHEIMER PROBABLE
2004,Estudio citológico bioquímico y molecular del probable efecto terapéutico del compuesto colágena-polivinilpirrolidona sobre la fibrosis hepática valorado en un modelo in vivo (ratas) e in vitro (hepatocitos primarios de rata y humanos).
2008,ESTUDIO CLÍNICO DE FASE 1 DE 2 NUEVOS FÁRMACOS ANTINEOPLÁSICOS (CASIOPEÍNAS IIGLY Y III-IA) Y DESARROLLO PRECLÍNICO DE 7 ANÁLOGOS ESTRUCTURALES.
2008,ESTUDIO CLÍNICO-FUNCIONAL DE LAS VARIANTES THR290(307)/ASN663(680) Y ALA290(307)/SER663(680) DEL RECEPTOR DE LA HORMONA ESTIMULANTE DEL FOLÍCULO Y SU RELACIÓN CON LA RESPUESTA A HIPERESTIMULACIÓN OVÁRICA CONTROLADA.
2005,ESTUDIO COMPARATIVO DE ESTRATEGIAS DE CONTROL VECTORIAL DE LA ENFERMEDAD DE CHAGAS EN EL ESTADO DE YUCATÁN MÉXICO
2009,ESTUDIO COMPARATIVO DE LA AMPLITUD DEL COMPONENTE N1/P2 DEL POTENCIAL AUDITIVO EVOCADO Y L-TRIPTÓFANO PLASMÁTICO LIBRE EN LOS PACIENTES POST- INFARTADOS DEL MIOCARDIO CON Y SIN DEPRESIÓN
2006,ESTUDIO COMPARATIVO DE LA EFICACIA EN EL CONTROL DE CRISIS Y EVOLUCIÓN PSICOMÉTRICA DE DOS SISTEMAS DE CALLOSOTOMIA (TÉCNICA QUIRÚRGICA CONVENCIONAL VS RADIOCIRUGÍA).
2003,Estudio comparativo para evaluar la eficacia de dos estrategias de tratamiento antirretroviral en pacientes con enfermedad avanzada por VIH.
2009,Estudio de asociación de polimorfismos en genes candidatos y labio paladar hendido en una muestra de pacientes de origen mexicano.
2005,"ESTUDIO DE ASOCIACIÓN ENTRE LAS VARIANTES ALÉLICAS DE LOS GENES CYP2C9, CYP2C19, GGCX Y VKORC1 CON LA DOSIFICACION DE CUMARINICOS EN PACIENTES DE POBLACIÓN MEXICANA."
2007,ESTUDIO DE BASE POBLACIONAL PARA DEFINIR LA CARGA DE ENFERMEDAD DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS
2009,Estudio de cohorte para evaluar la exposición materna al mercurio y sus efectos en la salud perinatal. Comunidades del Lago de Chapala.
2013,Estudio de costos asociados a la fragilidad en adultos mayores en México
2005,ESTUDIO DE COSTOS Y RECUPERACIÓN DE LA INVERSIÓN DE POLÍTICAS DE ATENCIÓN DE ENFERMEDADES MENTALES EL CASO DE LA DEPRESIÓN Y LA ESQUIZOFRENIA.
2008,ESTUDIO DE DETERMINANTES GENÉTICOS Y AMBIENTALES DE LA MASA ÓSEA EN MUJERES PERIMENOPÁUSICAS DE CIUDAD JUÁREZ CON Y SIN OSTEOPOROSIS.
2004,Estudio de factibilidad de diagnóstico y seguimiento de respuesta al tratamiento de pacientes con Brucelosis por metodología PCR (comparación contra métodos serológicos)
2013,"ESTUDIO DE GENES KIR 2DL2 / 2DL3 / 2DS2 COMO MARCADORES GENÉTICOS, Y DE LOS GENES DE SUS LIGANDOS HLA, EN LA RESPUESTA AL TRATAMIENTO CON DROGAS MODIFICADORAS DE LA ENFERMEDAD EN ARTRITIS REUMATOIDE"
2003,ESTUDIO DE GENES REGIONES CROMOSÓMICAS Y ANÁLISIS DE VARIACIONES DE PROTEÍNAS EN CÁNCER DE MAMA DE MUJERES MEXICANAS.
2009,Estudio de grupos centinela para la vigilancia epidemiológica del virus de la influenza A (H1N1) 2009
2004,Estudio de intervención para reducción de riesgo cardiovascular en pacientes con lupus eritematoso generalizado
2013,Estudio de la asociación de la microbiota intestinal con la obesidad y sus complicaciones metabólicas en población infantil mexicana.
2007,ESTUDIO DE LA FLUCTUACIÓN DEL REFLEJO DE HOFFMANN EN HUMANOS UTILIZANDO LA TEORÍA DE CAOS.
2010,ESTUDIO DE LA FOSFOPROTEÍNA ESTIMULADA POR VASODILATADORES (VASP) PARA LA EVALUACIÓN DE REACTIVIDAD PLAQUETARIA Y RESISTENCIA A CLOPIDOGREL EN PACIENTES CON ENFERMEDAD CARDIOVASCULAR ISQUÉMICA SOMETIDOS A INTERVENCIÓN CORONARIA PERCUTÁNEA.
2007,ESTUDIO DE LA IMPLEMENTACIÓN DE LA ATENCIÓN A LA SALUD REPRODUCTIVA DE LOS Y LAS ADOLESCENTES DENTRO DE LA SECRETARÍA DE SALUD.
2007,ESTUDIO DE LA INCIDENCIA Y EVOLUCIÓN DE LAS ESPONDILOARTRITIS EN LA POBLACIÓN GENERAL.
2007,ESTUDIO DE LA INESTABILIDAD DE LOS ANTOCIANOS PRESENTES EN HIBISCUS SABDARIFFA Y DESARROLLO DE UNA METODOLOGÍA PARA CONSERVAR SU ESTRUCTURA QUÍMICA Y SUS EFECTOS ANTIHIPERTENSIVOS
2011,ESTUDIO DE LA INFECCIÓN POR VPH DE ALTO RIESGO EN LA REGIÓN ANAL DE LAS MUJERES CON LESIONES ESCAMOSAS INTRAEPITELIALES O CÁNCER CERVICOUTERINO
2007,"ESTUDIO DE LA PRODUCTIVIDAD DE CRIADEROS DE AEDES AEGYPTI EN LOCALIDADES DE ALTO RIESGO DEL ESTADO DE MORELOS, MÉXICO PARA LA PROPUESTA DE UNA ESTRATEGIA ENFOCADA PARA EL CONTROL DEL DENGUE"
2009,Estudio de la respuesta inmune pulmonar. Marcadores inmunológicos de gravedad en pacientes con Neumonia por Influenza H1N1 2009
2011,Estudio de las moléculas IKBNS y Bcl-3 en la interrupción temprana del embarazo
2009,Estudio de las proteínas que intervienen en la progresión neoplásica de tumores de células germinales gonadales: Determinación de indicadores histopatológicos con valor pronóstico.
2011,"Estudio de las variantes alélicas del gen de la paraoxonasa 1 (PON 1) y de los valores de homocisteína, colesterol y lipoproteínas en la preeclampsia."
2011,Estudio de los alelos de HLA clase II y su asociación con la persistencia de la infección por virus del papiloma humano y el desarrollo de lesiones premalignas de cérvix.
2011,"Estudio de los genes de resistencia a multidrogas de la familia (ABC-B1,B7,B11) y del polimorfimo C3435T en pacientes con leucemia aguda y su impacto clínico."
2013,Estudio de los mecanismos celulares de activación en reacciones autoinmunes inducidas por fármacos
2003,ESTUDIO DE LOS MECANISMOS CELULARES EN EL ESTABLECIMIENTO DE LA METASTASIS PULMONAR EN PACIENTES CON CÁNCER DE MAMA
2004,ESTUDIO DE METILACIÓN DE PROMOTORES Y EXPRESIÓN DE DETERMINADOS GENES RELACIONADOS CON LA ETIOLOGÍA Y PROGRESIÓN DEL MIELOMA MÚLTIPLE EN PACIENTES DE RECIENTE DIAGNÓSTICO Y EN RECAÍDA.
2007,ESTUDIO DE METILACIÓN DE PROMOTORES Y EXPRESIÓN DE DETERMINADOS GENES RELACIONADOS CON LA ETIOLOGÍA Y PROGRESIÓN DEL MIELOMA MÚLTIPLE EN PACIENTES DE RECIENTE DIAGNÓSTICO Y EN RECAÍDA.
