Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",MANUEL ALONSO GÓMEZ ARROYO,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",MEDICINA INTERNA
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",TEODORA PATRICIA JIMÉNEZ,,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Enfermería
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",LILIANA DEYANIRA MORALES MENDOZA,,"Instituto Politécnico Nacional, I.P.N.",Biónica
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",BENJAMIN ENRIQUE CAMACHO COCOM,,"Instituto Politécnico Nacional, I.P.N.",Biónica
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",GABRIEL SEPULVEDA CERVANTES,Candidato,"Instituto Politécnico Nacional, I.P.N.",Mecatrónica
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",CARLOS ALARCON VILLAREJO,,"Instituto Politécnico Nacional, I.P.N.",Mecatrónica
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",EDGAR ALFREDO PORTILLA FLORES,Nivel 1,"Instituto Politécnico Nacional, I.P.N.",Mecatrónica
TELE-REHABILITACIÓN DE MIEMBRO SUPERIOR UTILIZANDO DISPOSITIVOS HAPTICOS Y KINECT,"Instituto Politécnico Nacional, I.P.N.",Israel Rojas Moreno,,Instituto Nacional de Rehabilitación,Rehabilitación
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,JORGE LARA ARIAS,,Universidad Autónoma De Nuevo León,BIOLOGÍA MOLECULAR E INGENIERÍA GENÉTICA
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,MARCO ANTONIO LOUDOVIC HERNÁNDEZ RODRIGUEZ,Candidato,Universidad Autónoma De Nuevo León,Biomateriales
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,GISSELA BORREGO SOTO,,Universidad Autónoma De Nuevo León,BIOLOGÍA MOLECULAR E INGENIERIA GENÉTICA
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,JOSÉ ALBERTO MORALES DE LOS SANTOS,,Universidad Autónoma De Chiapas,BIOTECNOLOGÍA
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,EDUARDO ÁLVAREZ LOZANO,Candidato,Universidad Autónoma De Nuevo León,
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,AUGUSTO ROJAS MARTÍNEZ,Nivel 2,Universidad Autónoma De Nuevo León,BIOLOGÍA MOLECULAR E INGENIERÍA GENÉTICA
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,Rocio Ortíz López,Nivel 2,Universidad Autónoma De Nuevo León,BIOLOGÍA MOLECULAR E INGENIERÍA GENÉTICA
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,DANIEL CERVANTES GARCÍA,,Universidad Autónoma De Nuevo León,BIOLOGÍA MOLECULAR E INGENIERÍA GENÉTICA
TERAPIA GÉNICA Y CÉLULAR PARA REGENERACIÓN ÓSEA CON UN IMPLANTE DE CÉLULAS MADRE MESENQUIMALES MODIFICADAS GENÉTICAMENTE CON LAS PROTEÍNAS MORFOGENÉTICAS DE HUESO 2 Y 7 EN UN MODELO OVINO,Universidad Autónoma De Nuevo León,JESÚS ANCER RODRÍGUEZ,,Universidad Autónoma De Nuevo León,
TERCERA ETAPA DE EVALUACIÓN DE LOS LINEAMIENTOS SOBRE CONSUMO DE ALIMENTOS Y BEBIDAS EN LAS ESCUELAS Y ENTORNO OBESIGÉNICO,Instituto Nacional De Salud Pública,SIMON BARQUERA CERVERA,Nivel 2,Instituto Nacional De Salúd Pública,
ÓXIDO NÍTRICO Y DISFUNCIÓN COGNOSCITIVA EN ADULTOS JÓVENES CON TRASTORNOS PSICÓTICOS,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",DAILETT HERNÁNDEZ ÁLVAREZ,,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",EVALUACIÓN Y MEDICION PSICOLÓGICAS
TERCERA ETAPA DE EVALUACIÓN DE LOS LINEAMIENTOS SOBRE CONSUMO DE ALIMENTOS Y BEBIDAS EN LAS ESCUELAS Y ENTORNO OBESIGÉNICO,Instituto Nacional De Salud Pública,Enrique Cifuentes García,Nivel 2,Instituto Nacional De Salúd Pública,Epidemiología
TERCERA ETAPA DE EVALUACIÓN DE LOS LINEAMIENTOS SOBRE CONSUMO DE ALIMENTOS Y BEBIDAS EN LAS ESCUELAS Y ENTORNO OBESIGÉNICO,Instituto Nacional De Salud Pública,LUCIA HERNÁNDEZ BARRERA,,,
TERCERA ETAPA DE EVALUACIÓN DE LOS LINEAMIENTOS SOBRE CONSUMO DE ALIMENTOS Y BEBIDAS EN LAS ESCUELAS Y ENTORNO OBESIGÉNICO,Instituto Nacional De Salud Pública,CAMPOS NONATO ISMAEL RICARDO,Candidato,Instituto Nacional De Salúd Pública,
TERCERA ETAPA DE EVALUACIÓN DE LOS LINEAMIENTOS SOBRE CONSUMO DE ALIMENTOS Y BEBIDAS EN LAS ESCUELAS Y ENTORNO OBESIGÉNICO,Instituto Nacional De Salud Pública,Juan Angel Rivera Dommarco,Nivel 3,Instituto Nacional De Salúd Pública,
TERCERA ETAPA DE EVALUACIÓN DE LOS LINEAMIENTOS SOBRE CONSUMO DE ALIMENTOS Y BEBIDAS EN LAS ESCUELAS Y ENTORNO OBESIGÉNICO,Instituto Nacional De Salud Pública,Lucie Lévesque,,Universidad de Queens,Actividad física
Termografía funcional aplicada a la identificación de infección intrauterina en mujeres embarazadas.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",FERNANDO ARAMBULA COSIO,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Análisis de imágenes médicas y cirugía asistida por computadora
Termografía funcional aplicada a la identificación de infección intrauterina en mujeres embarazadas.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",ASUR GUADARRAMA SANTANA,,Centro de Ciencias Palicadas y Desarrollo Tecnológico,Sensores capacitivos de ultra-alta resolución
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",SERGIO PONCE DE LEON ROSALES,Nivel 3,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",
Termografía funcional aplicada a la identificación de infección intrauterina en mujeres embarazadas.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Crescencio García Segundo,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Fisica de propiedades ópticas y térmicas en medios condensados y materia suave.
Termografía funcional aplicada a la identificación de infección intrauterina en mujeres embarazadas.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Felipe Vadillo Ortega,Nivel 3,Instituto Nacional de Perinatología Isidro Espinoza de los Reyes,Biofísica
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Luis Alonso Herrera Montalvo,Nivel 2,"Instituto Nacional De Cardiología ""Ignacio Chavez""",
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",ELIA DIEGO GARCÍA,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",ANÁLISIS GENÓMICO
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",BLANCA I. GARCÍA GÓMEZ,Candidato,INSTITUTO BIOCLON S.A. DE C.V.,CLONACIÓN Y EXPRESIÓN DE PÉPTIDOS Y PROTEÍNAS
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",VERÓNICA QUINTERO HERNÁNDEZ,Candidato,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",CLONACIÓN Y EXPRESIÓN HETERÓLOGA DE PÉPTIDOS Y PROTEÍNAS
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",RICARDO C. RODRÍGUEZ DE LA VEGA CUÉLLAR,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología","ANÁLISIS DE SECUENCIAS Y ESTRUCTURAS, RECONSTRUCCIÓN FILOGENÉTICA Y BIOLOGÍA COMPUTACIONAL"
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",Gerardo Pavel Espino Solis,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",ACTIVACIÓN DE LA RESPUESTA INMUNE MEDIANTE DIRECCIÓN DE ANTÍGENOS A CÉLULAS PRESENTADORAS
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",GERARDO A. CORZO BURGUETE,Nivel 1,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología","AISLAMIENTO, CARACTERIZACIÓN Y SÍNTESIS QUÍMICA DE PÉPTIDOS"
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",GEORGINA GURROLA BRIONES,Nivel 2,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología","AISLAMIENTO, CARACTERIZACIÓN Y SÍNTESIS QUÍMICA DE PÉPTIDOS"
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",FREDY I. CORONAS VALDERRAMA,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",MÉTODOS DE SEPARACIÓN CROMATOGRÁFICA DE PÉPTIDOS Y PROTEÍNAS
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",JUANA M. JIMÉNEZ VARGAS,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",PRODUCCIÓN DE PROTEÍNAS RECOMBINANTES
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",FERNANDO ZAMUDIO ZÚÑIGA,,"Universidad Nacional Autónoma De México, UNAM - Instituto de Biotecnología",PURIFICACIÓN Y SECUENCIACIÓN DE PÉPTIDOS Y PROTEÍNAS
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",David Kershenobich Stalnikowitz,Nivel 3,"Universidad Nacional Autónoma De México, UNAM",
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,HERIBERTO CABALLERO ORTEGA,Nivel 1,Instituto Nacional De Pediatría,Inmunología y BIOLOGÍA MOLECULAR
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,CARLOS CEDILLO PELAEZ,,Instituto Nacional de Pediatría,Patología
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,Irma Cañedo Solares,,Instituto Nacional De Pediatría,BIOLOGÍA CELULAR E INMUNOLOGÍA
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,MIRZA GABRIELA ROMERO VALDOVINOS,,Secretaría de Salud,BIOLOGÍA CELULAR Y MOLECULAR
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,Jose Pablo Maravilla Campillo,Nivel 1,Hospital General Doctor Manuel Gea González,Genética molecular poblacional
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,HECTOR LUNA PASTÉN,,Instituto Nacional de Pediatría,INMUNODIAGNOSTICO
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Martha Patricia Ostrosky Shejet,Nivel 3,"Universidad Nacional Autónoma De México, UNAM",
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,MARIA ANGELICA ALFONSINA OLIVO DÍAZ,,Instituto Nacional de Diagnóstico y Referencia Epidemiológica,Inmunogenética
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,JOEL MARTINEZ OCAÑA,,Hospital General Doctor Manuel Gea González,INMUNOLOGÍA
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,JOSE ANTONIO VARGAS VILLAVICENCIO,Nivel 1,Instituto Nacional De Pediatría,BIOLOGÍA EXPERIMENTAL
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,Esther Calderón Segura,,Instituto Nacional de Pediatría,Inmunodiagnóstico
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,RICARDO FIGUEROA DAMIAN,,Instituto Nacional de Perinatología Isidro Espinoza de los Reyes,Infectólogo de adultos y recién nacidos
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,CLAUDIA PATRICIA RICO TORRES,,Instituto Nacional de Pediatría,BIOLOGÍA MOLECULAR
"Toxoplasmosis congénita. Relación de los polimorfismos de genes del parásito y de la respuesta inmune de la madre y del hijo con la expresión, la actividad biológica, la transmisión vertical y la patogenia fetal",Instituto Nacional de Pediatría,LUZ BELINDA ORTIZ ALEGRIA,,Instituto Nacional de Pediatría,BIOQUÍMICA e Inmunología
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",Melissa Portilla Chaves,,"Universidad Nacional Autónoma De México, UNAM",
Transferencia a la clínica del sistema de fabricación de asientos conformados para niños con discapacidad,"Universidad Iberoamericana, A.C.",GRACIELA FREGOSO NARVÁEZ,,"Universidad Iberoamericana, A.C.",Ing. de Rehabilitación
Transferencia a la clínica del sistema de fabricación de asientos conformados para niños con discapacidad,"Universidad Iberoamericana, A.C.",ABEL ARTURO ARREDONDO ZAMUDIO,,"Universidad Iberoamericana, A.C.",Ingeniería de Rehabilitación
Transferencia a la clínica del sistema de fabricación de asientos conformados para niños con discapacidad,"Universidad Iberoamericana, A.C.",DANIELA JOURDAIN ORVAÑANOS,,,Diseño Industrial
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,Valentín Matínez López,,Instituto Nacional de Rehabilitación,CULTIVO CELULAR
Biomarcadores para establecer un método de diagnóstico temprano para Cáncer gástrico.,"Universidad Nacional Autónoma De México, UNAM / Coordinación de Investigación Científica",GONZALO CASTILLO ROJAS,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,MARIA CRISTINA VELASQUILLO MARTINEZ,,Instituto Nacional de Rehabilitación,Cultivo celular y citometria de flujo
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,VICTOR RAÚL GUEVARA SÁNCHEZ,,Instituto Nacional de Rehabilitación,ORTOPEDIA Y TRAUMATOLOGIA
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,LUIS SIERRA SUAREZ,,Instituto Nacional de Rehabilitación,Ortopedia y Traumatologia
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,Marco Acuña Hernández,,Instituto Nacional de Rehabilitación,Ortopedia y Traumatologia
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,FRANCISCO JAVIER PÉREZ JIMÉNEZ,,Instituto Nacional de Rehabilitación,ORTOPEDIA Y TRAUMATOLOGIA
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,Francisco Cruz López,,Instituto Nacional de Rehabilitación,ORTOPEDIA Y TRAUMATOLOGIA.
"Transplante de células autólogas para la regeneración de cartílago articular, como alternativa para reducir el costo de la atención de las osteoartritis. Ensayo clínico controlado.",Instituto Nacional de Rehabilitación,ALDO FIDEL IZAGUIRRE HERNÁNDEZ,,Instituto Nacional de Rehabilitación,ORTOPEDIA Y TRAUMATOLOGIA
